loc,FMP_SUBAREA
-158.333333333333_54.6666666666667,CG
-158.333333333333_55,CG
-158.333333333333_55.6666666666667,CG
-158.333333333333_56,CG
-158.333333333333_56.3333333333333,CG
-158.666666666667_54.3333333333333,CG
-158.666666666667_54.6666666666667,CG
-158.666666666667_55.3333333333333,CG
-158.666666666667_55.6666666666667,CG
-158.666666666667_56,CG
-158_54,CG
-158_54.3333333333333,CG
-158_54.6666666666667,CG
-158_55,CG
-158_55.6666666666667,CG
-158_56,CG
-158_56.3333333333333,CG
-159.333333333333_53.3333333333333,WG
-159.333333333333_54,WG
-159.333333333333_54.3333333333333,WG
-159.333333333333_54.6666666666667,WG
-159.333333333333_55,WG
-159.333333333333_55.3333333333333,WG
-159.333333333333_55.6666666666667,WG
-159.666666666667_54,WG
-159.666666666667_54.3333333333333,WG
-159.666666666667_54.6666666666667,WG
-159.666666666667_55,WG
-159_53.3333333333333,WG
-159_54.3333333333333,CG
-159_54.6666666666667,CG
-159_55.3333333333333,CG
-159_55.6666666666667,CG
-160.333333333333_54,WG
-160.333333333333_54.3333333333333,WG
-160.333333333333_54.6666666666667,WG
-160.333333333333_55,WG
-160.333333333333_55.3333333333333,WG
-160.333333333333_55.6666666666667,WG
-160.666666666667_54,WG
-160.666666666667_54.3333333333333,WG
-160.666666666667_54.6666666666667,WG
-160.666666666667_55,WG
-160.666666666667_55.3333333333333,WG
-160_54,WG
-160_54.3333333333333,WG
-160_54.6666666666667,WG
-160_55,WG
-160_55.3333333333333,WG
-160_55.6666666666667,WG
-161.333333333333_54,WG
-161.333333333333_54.3333333333333,WG
-161.333333333333_54.6666666666667,WG
-161.333333333333_55,WG
-161.666666666667_53.6666666666667,WG
-161.666666666667_54,WG
-161.666666666667_54.3333333333333,WG
-161.666666666667_54.6666666666667,WG
-161.666666666667_55,WG
-161_54,WG
-161_54.6666666666667,WG
-161_55,WG
-161_55.3333333333333,WG
-162.333333333333_54,WG
-162.333333333333_54.3333333333333,WG
-162.333333333333_54.6666666666667,WG
-162.333333333333_55,WG
-162.333333333333_56,BS
-162.666666666667_53,WG
-162.666666666667_53.6666666666667,WG
-162.666666666667_54,WG
-162.666666666667_54.3333333333333,WG
-162.666666666667_55,WG
-162.666666666667_56,BS
-162_53,WG
-162_53.6666666666667,WG
-162_54,WG
-162_54.3333333333333,WG
-162_54.6666666666667,WG
-162_55,WG
-163.333333333333_53.3333333333333,WG
-163.333333333333_53.6666666666667,WG
-163.333333333333_54,WG
-163.333333333333_54.3333333333333,WG
-163.333333333333_54.6666666666667,WG
-163.333333333333_55,WG
-163.333333333333_55.6666666666667,BS
-163.333333333333_56,BS
-163.666666666667_53.3333333333333,WG
-163.666666666667_53.6666666666667,WG
-163.666666666667_54,WG
-163.666666666667_54.3333333333333,WG
-163.666666666667_54.6666666666667,WG
-163.666666666667_56,BS
-163_53,WG
-163_53.6666666666667,WG
-163_54,WG
-163_54.3333333333333,WG
-163_54.6666666666667,WG
-163_56,BS
-164.333333333333_53.3333333333333,WG
-164.333333333333_53.6666666666667,WG
-164.333333333333_54,WG
-164.333333333333_54.3333333333333,WG
-164.333333333333_55.6666666666667,BS
-164.666666666667_53.3333333333333,WG
-164.666666666667_53.6666666666667,WG
-164.666666666667_54,WG
-164.666666666667_54.3333333333333,WG
-164.666666666667_55,BS
-164.666666666667_55.3333333333333,BS
-164_53.6666666666667,WG
-164_54,WG
-164_54.3333333333333,WG
-164_55.6666666666667,BS
-165.333333333333_53.3333333333333,WG
-165.333333333333_53.6666666666667,WG
-165.333333333333_54,BS
-165.333333333333_54.3333333333333,BS
-165.333333333333_55,BS
-165.666666666667_53.3333333333333,WG
-165.666666666667_53.6666666666667,WG
-165.666666666667_54,WG
-165.666666666667_54.3333333333333,BS
-165.666666666667_54.6666666666667,BS
-165_53.3333333333333,WG
-165_53.6666666666667,WG
-165_55,BS
-165_55.3333333333333,BS
-166.333333333333_53,WG
-166.333333333333_53.3333333333333,WG
-166.333333333333_53.6666666666667,WG
-166.333333333333_54,BS
-166.333333333333_54.3333333333333,BS
-166.333333333333_56.6666666666667,BS
-166.666666666667_53,WG
-166.666666666667_53.3333333333333,WG
-166.666666666667_53.6666666666667,WG
-166.666666666667_54,BS
-166.666666666667_54.3333333333333,BS
-166.666666666667_54.6666666666667,BS
-166_53,WG
-166_53.3333333333333,WG
-166_53.6666666666667,WG
-166_54,BS
-166_54.3333333333333,BS
-167.333333333333_52.6666666666667,WG
-167.333333333333_53,WG
-167.333333333333_53.3333333333333,BS
-167.333333333333_53.6666666666667,BS
-167.333333333333_54,BS
-167.333333333333_54.3333333333333,BS
-167.333333333333_54.6666666666667,BS
-167.666666666667_52.6666666666667,WG
-167.666666666667_53,WG
-167.666666666667_53.3333333333333,BS
-167.666666666667_53.6666666666667,BS
-167.666666666667_54.3333333333333,BS
-167.666666666667_54.6666666666667,BS
-167.666666666667_55,BS
-167.666666666667_55.3333333333333,BS
-167_53,WG
-167_53.3333333333333,WG
-167_53.6666666666667,BS
-167_54,BS
-167_54.3333333333333,BS
